%E,N(m):
1,-0.895149434155,-0.748210265663
2,-0.895149434155,-0.748210265663
3,-1.548856948708,-0.998543015051
4,-2.669788419258,-1.321998961731
5,-4.301033680623,-1.404562119678
6,-5.458147121089,-1.255566827790
7,-8.010210598427,-0.982162757936
8,-9.394858563150,-1.188923522563
9,-10.440269687692,-2.120113933105
10,-11.746078376206,-3.101256861927
11,-13.719819017586,-3.818437369584
12,-14.514494118151,-5.245416438219
13,-15.329348728548,-6.383841650481
14,-16.331781471151,-7.958507659830
15,-17.557873578766,-9.663411804833
16,-18.814318215304,-10.280944698947
17,-20.335673856414,-10.875297112119
18,-21.919138870468,-11.863772197141
19,-23.736132591850,-13.327663675668
20,-25.077992148368,-14.625298976909
21,-26.316070057652,-15.690635012307
22,-26.914514270765,-16.692121724602
23,-27.802840809004,-18.062761625976
24,-28.954236295642,-19.221237439763
25,-30.931419933957,-20.460265003952
26,-32.739520149165,-20.924181005195
27,-34.008276832166,-21.516005708415
28,-34.945399330272,-22.853757255348
29,-36.226369996330,-24.211534334674
30,-36.985056767137,-25.388137234468
31,-37.896727840283,-26.743361803374
32,-39.423693734275,-27.817056174705
33,-40.540923311931,-27.481036559321
34,-41.995683209896,-26.738438810165
35,-44.327112342501,-26.644191029909
36,-45.798074810596,-27.354153842480
37,-47.092108761398,-27.888453509495
38,-48.465990171176,-27.619288370843
39,-50.523769298868,-27.200307390804
40,-51.386595996711,-26.097796579297
41,-51.825490179739,-25.016832654267
42,-52.483834552247,-23.522054923310
43,-53.144977471819,-21.776393305372
44,-53.775648898314,-20.526491888538
45,-54.266319760623,-19.468024498397
46,-54.643073212352,-18.119671118674
47,-56.103044992920,-16.610206842865
48,-57.497046772573,-16.739663547306
49,-58.393258687020,-16.479057876770
50,-59.998465471614,-17.431819978838
51,-59.614335991295,-19.258535333455
52,-58.436823036001,-20.015808890444
53,-56.665301262912,-20.604158320559
54,-54.604673725821,-21.008897932388
55,-52.623072403252,-21.704064242268
56,-51.363609186277,-22.315417172323
57,-50.134704944360,-22.986084276181
58,-48.922678869101,-23.686793055127
59,-47.320250333724,-24.644220458879
60,-45.315372710988,-25.269093020169
61,-43.992852898803,-25.728376534328
62,-42.430679228966,-26.205232071201
63,-41.050187962367,-26.438135190207
64,-39.935287011662,-26.781802152873
65,-38.302036328836,-26.765370937885
66,-36.462889491097,-27.084719264447
67,-35.062942526569,-27.072533349983
68,-33.794240419955,-27.664475040246
69,-32.407950575447,-28.528175361417
70,-30.224228736424,-29.350247970266
71,-27.900903150269,-29.566124474696
72,-26.182951517393,-30.773867074383
73,-25.558191946004,-32.282990414516
74,-24.789103987086,-33.723921186352
75,-23.332645749405,-34.891471547723
76,-24.116037207668,-36.324676208928
77,-25.174570851062,-38.138375887982
78,-24.660024803185,-39.440390620854
79,-23.705567421812,-40.765829749943
80,-23.138855446608,-42.297696361283
81,-22.151633483020,-43.598915240790
82,-20.873257553782,-44.615543374044
83,-20.384496780197,-45.674894126777
84,-20.827491693009,-47.727637536759
85,-21.797455839620,-49.322508691032
86,-23.355769911404,-50.350176778560
87,-24.798163237125,-51.116518263601
88,-26.190552566592,-51.970350643499
89,-28.183542698105,-53.587684286712
90,-29.315712339139,-56.148580985902
91,-29.681988412755,-57.499818136774
92,-30.010737506896,-58.373336965542
93,-31.049251690917,-59.924443903839
94,-32.170155667592,-61.112447293081
95,-33.327975304657,-62.264502615452
96,-34.019800361559,-63.203911579511
97,-35.763131206848,-63.871176150958
98,-37.009949695723,-65.260380275715
99,-37.716757852286,-66.988056945194
100,-38.552484274023,-68.657190191060
101,-38.803912171590,-69.796442192785
102,-39.725125351783,-70.850655774864
103,-42.010638360175,-71.320628894217
104,-43.420597474582,-70.496133246273
105,-44.511965361116,-70.083789642766
106,-45.902790823337,-70.243803809753
107,-47.229201325722,-71.557226675249
108,-48.383703990294,-73.024049105518
109,-49.809364701373,-73.821086943180
110,-51.339975606041,-74.391181703977
111,-52.864679162313,-75.468086300464
112,-53.948252459591,-77.266938409290
113,-55.071466641398,-79.312136283881
114,-56.182867841494,-80.509034420817
115,-57.395668643724,-81.208401430413
116,-59.283379634624,-82.128481434997
117,-60.692362137473,-83.352904871195
118,-62.015864625967,-84.669258018110
119,-62.756824763547,-86.124852691189
120,-63.637754178170,-87.770576790452
121,-64.918472239599,-89.434836760268
122,-65.696534921877,-91.131616918948
123,-66.168593556623,-91.936770169250
124,-68.031502193775,-92.055158741630
125,-69.519469746156,-92.728753828339
126,-70.075612960750,-94.013551370702
127,-70.279380110675,-95.398643045867
128,-71.906433250482,-96.726309449842
129,-73.591163275962,-97.979977963144
130,-74.764818670812,-98.743216467244
131,-76.001471965053,-99.399485184953
132,-77.720421349389,-100.127260877413
133,-79.107921191173,-101.375975670107
134,-80.090851428855,-102.680439516148
135,-80.825031623482,-104.139465636406
136,-82.363477968238,-104.688064417014
137,-83.800008893048,-103.910789253483
138,-85.663972595621,-104.011207179850
139,-84.474232431929,-103.273292318299
140,-83.636672387000,-101.871054482226
141,-82.193290917796,-100.037725712255
142,-80.336217580982,-98.625025083623
143,-79.603958516162,-96.907980789950
144,-80.207763672494,-95.644881691230
145,-82.040830794977,-95.292306353300
146,-83.987682455943,-94.505052512284
147,-84.487237388656,-93.716664295532
148,-85.013266419135,-92.675316817403
149,-85.526983806470,-91.627841014790
150,-84.667486917625,-91.264005599833
151,-83.369521099189,-90.739329762604
152,-81.834094186034,-90.182336071314
153,-81.138615822713,-90.102901531266
154,-79.061862702519,-90.414504608535
155,-78.470075531217,-90.788386867921
156,-76.895915876271,-91.224046320382
157,-75.811326989373,-91.653904503423
158,-74.521135858928,-92.197417931887
159,-73.881902792864,-92.482691637740
160,-72.261049855103,-92.684219630658
161,-70.400429938566,-92.834346146064
162,-69.008702194437,-93.689256471186
163,-68.196071709237,-94.148323792648
164,-66.265767501353,-95.839980803630
165,-65.482719333032,-97.273373054155
166,-64.703752232950,-98.969738198054
167,-64.017062728986,-100.189761773706
168,-63.075237393551,-101.801409837638
169,-61.954083207633,-103.577082468333
170,-61.236954806748,-104.779466290847
171,-60.374204358581,-106.166347483295
172,-59.509769272919,-107.820794952126
173,-58.823864727382,-109.303128494953
174,-58.407829304150,-110.138607781188
175,-57.847698082617,-111.672892889126
176,-57.823478258531,-113.306046641195
177,-58.666924943729,-114.423453321518
178,-60.514072619514,-114.692692821376
179,-61.792751373412,-115.708940046272
180,-62.531714171923,-116.898029606573
181,-63.164832922571,-118.900318458757
182,-64.031978130594,-119.680812084172
183,-65.662848043509,-119.770484292382
184,-67.620766475473,-120.529796753610
185,-68.996385937255,-120.789933441463
186,-70.280555330612,-121.347525558663
187,-71.631099894385,-122.266115325121
188,-72.842437284887,-123.361761027047
189,-74.204559391436,-125.256244548035
190,-74.871026814396,-126.213810360523
191,-76.472579288532,-127.172702490552
