2673373	9.100000381	2.926000118	5.90500021	4.013000011	3.424999952	8.012999535	7.561999798	2.871000051
2673393	9.074999809	2.947000027	5.892000198	4.013000011	3.421000004	8.081999779	7.538000107	2.788000107
2673413	9.041999817	2.944999933	5.860000134	4.006000042	3.448999882	8.065999985	7.545000076	2.895999908
2673433	9.074999809	2.910000086	5.897999763	4.011000156	3.427999973	8.105999947	7.550000191	2.815999985
2673453	9.041999817	2.947000027	5.922999859	4.024000168	3.434999943	8.029000282	7.554999828	2.855000019
2673473	9.032999992	2.937999964	5.916999817	3.970999956	3.421000004	8.072999954	7.538000107	2.864000082
2673493	9.06099987	2.953999996	5.965000153	3.969000101	3.450999975	8.045000076	7.543000221	2.861999989
2673513	9.055999756	2.907999992	5.927999973	4.006000042	3.385999918	8.078000069	7.538000107	2.842999935
2673533	9.090999603	2.944999933	5.868999958	3.954999924	3.464999914	8.039999962	7.552000046	2.845999956
2673553	9.06099987	2.971999884	5.881999969	3.977999926	3.441999912	8.038000107	7.559000015	2.826999903
2673573	9.06799984	2.953999996	5.90500021	3.931999922	3.450999975	8.017000198	7.578000069	2.818000078
2673593	9.079000473	2.979000092	5.888999939	3.944000006	3.438999891	8.034000397	7.540999889	2.895999908
2673613	9.053999901	2.921999931	5.887000084	3.967000008	3.461999893	8.020000458	7.545000076	2.864000082
2673633	9.07199955	2.963000059	5.897999763	3.976000071	3.40899992	8.036000252	7.543000221	2.811000109
2673653	9.074999809	2.971999884	5.875999928	3.980999947	3.45600009	8.012999535	7.528999805	2.907999992
2673673	9.055999756	2.963000059	5.909999847	3.992000103	3.438999891	8.05700016	7.561999798	2.829999924
2673693	9.046999931	2.907999992	5.907999992	4.007999897	3.446000099	8.031000137	7.543000221	2.864000082
2673713	9.102999687	2.933000088	5.93900013	4.004000187	3.417999983	8.027000427	7.545000076	2.842999935
2673733	9.045000076	2.95600009	5.919000149	3.993999958	3.431999922	8.074999809	7.579999924	2.819999933
2673753	9.086000443	2.941999912	5.901000023	3.947999954	3.407000065	8.038000107	7.565999985	2.822999954
2673773	9.032999992	2.903000116	5.881999969	3.98300004	3.446000099	8.050000191	7.561999798	2.825000048
2673793	9.059000015	2.924000025	5.885000229	3.977999926	3.421000004	8.074999809	7.550000191	2.865999937
2673813	9.107000351	2.933000088	5.948999882	3.957000017	3.502000093	8.050000191	7.550000191	2.792999983
2673833	9.090999603	2.953999996	5.926000118	3.98300004	3.423000097	8.050000191	7.545000076	2.894000053
2673853	9.059000015	2.951999903	5.881999969	4.024000168	3.427999973	8.039999962	7.547999859	2.819999933
2673873	9.062999725	2.903000116	5.907999992	4.024000168	3.461999893	8.031000137	7.53399992	2.868999958
2673893	9.032999992	2.974999905	5.856999874	4.004000187	3.453000069	8.036000252	7.571000099	2.872999907
2673913	9.027999878	2.976999998	5.897999763	4.018000126	3.381000042	8.034000397	7.565999985	2.861999989
2673933	9.034999847	2.967999935	5.894000053	3.967000008	3.437000036	8.05700016	7.540999889	2.829999924
2673953	9.062999725	2.937999964	5.909999847	3.977999926	3.415999889	8.092000008	7.547999859	2.84800005
2673973	9.059000015	2.930999994	5.897999763	3.986999989	3.473999977	8.022000313	7.538000107	2.849999905
2673993	9.053999901	2.967999935	5.861999989	3.963999987	3.421000004	8.024000168	7.543000221	2.803999901
2674013	9.076999664	2.911999941	5.84100008	3.937000036	3.423000097	8.086999893	7.565999985	2.845999956
2674033	9.06499958	2.951999903	5.907999992	3.969000101	3.407000065	8.06799984	7.538000107	2.872999907
2674053	9.048999786	2.91899991	5.90500021	3.961999893	3.40199995	8.053999901	7.538000107	2.826999903
2674073	9.079000473	2.960999966	5.885000229	3.967000008	3.407000065	8.034000397	7.579999924	2.887000084
2674093	9.012000084	2.933000088	5.84800005	3.99000001	3.486000061	8.05700016	7.576000214	2.811000109
2674113	9.074999809	2.940000057	5.861999989	3.980999947	3.431999922	8.059000015	7.550000191	2.852999926
2674133	9.034999847	2.933000088	5.843999863	3.992000103	3.388000011	8.059000015	7.531000137	2.84100008
2674153	9.046999931	2.971999884	5.870999813	3.984999895	3.437000036	8.074999809	7.543000221	2.829999924
2674173	9.06099987	2.951999903	5.916999817	3.963999987	3.471999884	8.071000099	7.543000221	2.852999926
2674193	9.055999756	2.924000025	5.951000214	3.98300004	3.378999949	8.053999901	7.561999798	2.895999908
2674213	9.06499958	2.940000057	5.901000023	4.007999897	3.464999914	8.050000191	7.579999924	2.849999905
2674233	9.076999664	2.95600009	5.873000145	3.957000017	3.431999922	8.074999809	7.538000107	2.799999952
2674253	9.027999878	2.953999996	5.895999908	3.984999895	3.427999973	8.034000397	7.55700016	2.871000051
2674273	9.07199955	2.960999966	5.951000214	4.03399992	3.446000099	8.027000427	7.52699995	2.796999931
2674293	9.095999718	2.910000086	5.894000053	4.014999866	3.446000099	8.06099987	7.585000038	2.858999968
2674313	9.093000412	2.894000053	5.870999813	3.980999947	3.385999918	8.050000191	7.531000137	2.888999939
2674333	9.053999901	2.960999966	5.888999939	4.011000156	3.417999983	8.012999535	7.554999828	2.84100008
2674353	9.06499958	2.979000092	5.880000114	4.014999866	3.437000036	8.081999779	7.579999924	2.88499999
2674373	9.055999756	2.941999912	5.965000153	3.986999989	3.448999882	8.092000008	7.531000137	2.855000019
2674393	9.062999725	2.898999929	5.933000088	3.969000101	3.427999973	8.022000313	7.493999958	2.822999954
2674413	9.06499958	2.947000027	5.912000179	3.976000071	3.398000002	8.06099987	7.525000095	2.796999931
2674433	9.045000076	2.953999996	5.877999783	3.999000072	3.40199995	8.052000046	7.56400013	2.838999987
2674453	9.074999809	2.944999933	5.880000114	3.963999987	3.479000092	8.027000427	7.55700016	2.809000015
2674473	9.069999695	2.926000118	5.897999763	4.000999928	3.431999922	8.034000397	7.568999767	2.857000113
2674493	9.031000137	2.940000057	5.892000198	3.953000069	3.404999971	8.027000427	7.52699995	2.903000116
2674513	9.069999695	2.951999903	5.870999813	3.977999926	3.453000069	8.074999809	7.583000183	2.789999962
2674533	9.07199955	2.926000118	5.855000019	3.970999956	3.407000065	8.052000046	7.545000076	2.872999907
2674553	9.038000107	2.941999912	5.946000099	3.99000001	3.45600009	8.039999962	7.531000137	2.815999985
2674573	9.041999817	2.941999912	5.943999767	3.957000017	3.430000067	8.085000038	7.583000183	2.849999905
2674593	9.055999756	2.987999916	5.946000099	3.963999987	3.415999889	8.06099987	7.519999981	2.855000019
2674613	9.038000107	2.95600009	5.916999817	3.950000048	3.40899992	8.038000107	7.56400013	2.838999987
2674633	9.081999779	2.947000027	5.856999874	3.993999958	3.457999945	8.085000038	7.572999954	2.826999903
2674653	9.081999779	2.924000025	5.892000198	4.006000042	3.427999973	8.039999962	7.53399992	2.858999968
2674673	9.095999718	2.905999899	5.895999908	3.98300004	3.486000061	8.050000191	7.554999828	2.829999924
2674693	9.095999718	2.941999912	5.861999989	3.999000072	3.424999952	8.06400013	7.540999889	2.809000015
2674713	9.041999817	2.95600009	5.863999844	4.019999981	3.414000034	8.072999954	7.554999828	2.849999905
2674733	9.052000046	2.907999992	5.892000198	3.986999989	3.457999945	8.020000458	7.540999889	2.84100008
2674753	9.100000381	2.924000025	5.895999908	4.004000187	3.467000008	8.065999985	7.572999954	2.852999926
2674773	9.093000412	2.967999935	5.921000004	4.007999897	3.388000011	8.071000099	7.565999985	2.84100008
2674793	9.069999695	2.951999903	5.887000084	4.019999981	3.441999912	8.072999954	7.513000011	2.849999905
2674813	9.052000046	2.948999882	5.902999878	3.961999893	3.381000042	8.074999809	7.545000076	2.84800005
2674833	9.024000168	2.898999929	5.867000103	3.993999958	3.437000036	8.071000099	7.56400013	2.855000019
2674853	9.079000473	2.937999964	5.933000088	3.976000071	3.453000069	8.065999985	7.550000191	2.894000053
2674873	9.027999878	2.976999998	5.927999973	3.950000048	3.448999882	8.045000076	7.565999985	2.857000113
2674893	9.045000076	2.951999903	5.897999763	3.984999895	3.421000004	8.017000198	7.53399992	2.872999907
2674913	9.052000046	2.953999996	5.831999779	3.954999924	3.421000004	8.065999985	7.56400013	2.829999924
2674933	9.079000473	2.91899991	5.902999878	3.970999956	3.438999891	8.072999954	7.545000076	2.855000019
2674953	9.026000023	2.963000059	5.895999908	3.967000008	3.467000008	8.020000458	7.552000046	2.832000017
2674973	9.012000084	2.921999931	5.907999992	3.947999954	3.424999952	8.039999962	7.53399992	2.838999987
2674993	9.038000107	2.947000027	5.895999908	3.963999987	3.421000004	8.038000107	7.545000076	2.838999987
2675013	9.055999756	2.944999933	5.897999763	3.969000101	3.394999981	8.010000229	7.598999977	2.872999907
2675033	9.017000198	2.948999882	5.84800005	3.969000101	3.480999947	8.074999809	7.535999775	2.887000084
2675053	9.06099987	2.957999945	5.888999939	3.986999989	3.411999941	8.074999809	7.550000191	2.825000048
2675073	9.039999962	2.95600009	5.892000198	4.014999866	3.450999975	8.029000282	7.535999775	2.88499999
2675093	9.083999634	2.898999929	5.929999828	3.963999987	3.423000097	8.045000076	7.538000107	2.803999901
2675113	9.055999756	2.934999943	5.856999874	3.99000001	3.421000004	8.052000046	7.552000046	2.852999926
2675133	9.048999786	2.947000027	5.867000103	3.99000001	3.446000099	8.06799984	7.578000069	2.84800005
2675153	9.06499958	2.963000059	5.877999783	3.996999979	3.446000099	8.039999962	7.559000015	2.855000019
2675173	9.045000076	2.911999941	5.916999817	3.996999979	3.414000034	8.036000252	7.565999985	2.826999903
2675193	9.048999786	2.907999992	5.90500021	4.011000156	3.415999889	8.06799984	7.540999889	2.826999903
2675213	9.097999573	2.967999935	5.909999847	4.014999866	3.430000067	8.038000107	7.545000076	2.875999928
2675233	9.097999573	2.983999968	5.855000019	4.004000187	3.427999973	8.052000046	7.52699995	2.826999903
2675253	9.039999962	2.948999882	5.922999859	4.006000042	3.471999884	8.074999809	7.547999859	2.894000053
2675273	9.032999992	2.947000027	5.934999943	3.984999895	3.434999943	8.015000343	7.583000183	2.799999952
2675293	9.07199955	2.911999941	5.860000134	3.993999958	3.400000095	8.027000427	7.513000011	2.845999956
2675313	9.059000015	2.921999931	5.895999908	4.007999897	3.448999882	8.072999954	7.53399992	2.868999958
2675333	9.027999878	2.951999903	5.929999828	3.973999977	3.45600009	8.029000282	7.561999798	2.849999905
2675353	9.046999931	2.905999899	5.881999969	3.98300004	3.398000002	8.024000168	7.538000107	2.818000078
2675373	9.053999901	2.926000118	5.907999992	3.984999895	3.400000095	8.121999741	7.538000107	2.819999933
2675393	9.093000412	2.960999966	5.895999908	3.967000008	3.446000099	8.085000038	7.55700016	2.815999985
2675413	9.088999748	2.953999996	5.881999969	3.938999891	3.431999922	8.012999535	7.56400013	2.872999907
2675433	9.07199955	2.953999996	5.914000034	3.969000101	3.446000099	8.045000076	7.519999981	2.825000048
2675453	9.07199955	2.951999903	5.926000118	3.986999989	3.434999943	8.045000076	7.572999954	2.855000019
2675473	9.07199955	2.957999945	5.888999939	3.953000069	3.415999889	8.05700016	7.559000015	2.911999941
2675493	9.062999725	2.937999964	5.894000053	3.977999926	3.404999971	8.034000397	7.504000187	2.832000017
2675513	9.038000107	2.948999882	5.880000114	3.996999979	3.479000092	8.071000099	7.535999775	2.84100008
2675533	9.104999542	2.933000088	5.912000179	3.986999989	3.437000036	8.065999985	7.590000153	2.845999956
2675553	9.11400032	2.91899991	5.933000088	4.000999928	3.441999912	8.046999931	7.56400013	2.812999964
2675573	9.081999779	2.933000088	5.936999798	3.98300004	3.446000099	8.029000282	7.538000107	2.795000076
2675593	9.048999786	2.964999914	5.887000084	3.98300004	3.411999941	8.052000046	7.554999828	2.871000051
2675613	9.045000076	2.953999996	5.877999783	4.03399992	3.430000067	8.06400013	7.531000137	2.872999907
2675633	9.039999962	2.948999882	5.897999763	4.054999828	3.430000067	8.024000168	7.561999798	2.819999933
2675653	9.076999664	2.95600009	5.982999802	3.999000072	3.400000095	8.074999809	7.576000214	2.845999956
2675673	9.090999603	2.95600009	5.892000198	4.004000187	3.421000004	8.045000076	7.528999805	2.826999903
2675693	9.059000015	2.974999905	5.875999928	3.996999979	3.438999891	8.024000168	7.565999985	2.842999935
