2673373	2.254859433	-1.969573501	0.78445776
2673393	2.2547771 	-1.96946521	0.784440002
2673413	2.25474302	-1.969414859	0.784406408
2673433	2.254724265	-1.969408375	0.784438135
2673453	2.254747162	-1.969506256	0.784510193
2673473	2.254796171	-1.969538603	0.784698698
2673493	2.254789795	-1.969462524	0.784449463
2673513	2.254764749	-1.969416698	0.784424277
2673533	2.254763959	-1.969538984	0.78448673
2673553	2.25477237	-1.969548538	0.78462925
2673573	2.254728444	-1.969439439	0.784605946
2673593	2.254844971	-1.969479126	0.784612793
2673613	2.254818546	-1.969497236	0.784485703
2673633	2.254729592	-1.969438132	0.784434426
2673653	2.254780395	-1.969396561	0.784447273
2673673	2.254765755	-1.969421638	0.784629456
2673693	2.254859375	-1.969499634	0.784613953
2673713	2.254773696	-1.969442232	0.784411416
2673733	2.254792122	-1.969488504	0.784450784
2673753	2.254809876	-1.969478196	0.784601456
2673773	2.254854076	-1.969574908	0.784513083
2673793	2.254780762	-1.969465576	0.78461792
2673813	2.254818661	-1.969430629	0.784556515
2673833	2.254787267	-1.969479119	0.784445255
2673853	2.25482721	-1.969515533	0.784557129
2673873	2.254813348	-1.969407485	0.784501788
2673893	2.254870361	-1.969502319	0.784589844
2673913	2.254817813	-1.969546286	0.78457223
2673933	2.254782112	-1.969478509	0.78438491
2673953	2.254760498	-1.969404984	0.784439507
2673973	2.254830423	-1.96947191	0.784654896
2673993	2.254775635	-1.969497925	0.78463147
2674013	2.254849652	-1.969532062	0.784611626
2674033	2.254802749	-1.969524694	0.784573095
2674053	2.254825135	-1.969459656	0.784486618
2674073	2.254743236	-1.96951207	0.784414468
2674093	2.254801514	-1.969456177	0.78461145
2674113	2.254801327	-1.969460571	0.784670062
2674133	2.254675408	-1.969434534	0.784521883
2674153	2.254725098	-1.969437011	0.784489014
2674173	2.254807158	-1.969489021	0.784605286
2674193	2.254681641	-1.969428467	0.784533569
2674213	2.254761618	-1.969534884	0.784679375
2674233	2.254789738	-1.969477202	0.784527354
2674253	2.254765961	-1.969417831	0.784442368
2674273	2.254800695	-1.969465505	0.784567386
2674293	2.254794922	-1.969437744	0.784473694
2674313	2.254837015	-1.969539658	0.784662457
2674333	2.254849322	-1.969567656	0.784599068
2674353	2.254818787	-1.969485245	0.784445122
2674373	2.25476281	-1.969406401	0.784465698
2674393	2.254770508	-1.969479736	0.784716614
2674413	2.25484365	-1.969492561	0.784538714
2674433	2.254733958	-1.969473661	0.784434757
2674453	2.254750367	-1.969474868	0.784451111
2674473	2.254740163	-1.969470121	0.784450303
2674493	2.25470874	-1.969508179	0.784435852
2674513	2.25483117	-1.96946982	0.784622627
2674533	2.254746998	-1.969429357	0.784599975
2674553	2.254745697	-1.969481812	0.784475578
2674573	2.254858657	-1.969481704	0.784393659
2674593	2.254861328	-1.969499878	0.784572754
2674613	2.254765266	-1.969464844	0.78467804
2674633	2.254772676	-1.969508818	0.784621306
2674653	2.254759033	-1.969600204	0.784430214
2674673	2.254694925	-1.969418651	0.784463989
2674693	2.254767822	-1.969510498	0.784548523
2674713	2.254690731	-1.969450662	0.784542057
2674733	2.254712574	-1.969405539	0.784555563
2674753	2.254799011	-1.969506332	0.784659065
2674773	2.254740378	-1.969427275	0.784499034
2674793	2.254718506	-1.969471558	0.784445374
2674813	2.254797516	-1.969461189	0.784427533
2674833	2.254799431	-1.96949758	0.784643813
2674853	2.25477359	-1.969456467	0.784563507
2674873	2.254707447	-1.96945571	0.784409639
2674893	2.254652832	-1.969373779	0.784465454
2674913	2.254780747	-1.969500919	0.784691966
2674933	2.254812902	-1.969532492	0.7847004
2674953	2.254811188	-1.969570114	0.784591804
2674973	2.25474628	-1.969444422	0.784514002
2674993	2.254763672	-1.969391113	0.784514648
2675013	2.254695198	-1.969443388	0.784639006
2675033	2.254757611	-1.969467177	0.784706945
2675053	2.254795166	-1.96945134	0.784568207
2675073	2.25476956	-1.969450253	0.784486321
2675093	2.254663574	-1.969390991	0.784528809
2675113	2.254793715	-1.969473604	0.78450847
2675133	2.254799087	-1.969457771	0.784532442
2675153	2.254832764	-1.96950856	0.784381279
2675173	2.254764074	-1.969572725	0.784558641
2675193	2.254724121	-1.969445312	0.784438599
2675213	2.254746151	-1.969564733	0.784375337
2675233	2.25488758	-1.969506348	0.784533996
2675253	2.254791352	-1.969494675	0.784664231
2675273	2.254860251	-1.969474114	0.784552522
2675293	2.254717529	-1.969370728	0.784483215
2675313	2.254847772	-1.969435324	0.784603778
2675333	2.254769977	-1.969482407	0.784628558
2675353	2.254814819	-1.969524185	0.784518486
2675373	2.254806109	-1.969469274	0.784434578
2675393	2.254701904	-1.969412598	0.78472052
2675413	2.254789537	-1.969472333	0.784499573
2675433	2.254839858	-1.969502549	0.78459938
2675453	2.254840881	-1.969506027	0.784577782
2675473	2.254758545	-1.969459717	0.78470939
2675493	2.254821289	-1.969577759	0.784690002
2675513	2.254772275	-1.969494464	0.784475747
2675533	2.254786764	-1.969494822	0.784417685
2675553	2.254809356	-1.969491165	0.784523133
2675573	2.254795195	-1.969535831	0.784712858
2675593	2.254757812	-1.969386475	0.78453479
2675613	2.254766099	-1.969480002	0.784398312
2675633	2.254802562	-1.969502686	0.784486066
2675653	2.254854065	-1.969527634	0.784538384
2675673	2.254831916	-1.969440494	0.784434707
2675693	2.254712402	-1.969421143	0.784599609
2675713	2.254726735	-1.969520522	0.78443266
2675733	2.254766257	-1.969494586	0.784466589
2675753	2.254840729	-1.969500137	0.784528924
2675773	2.254818546	-1.969419038	0.784602184
2675793	2.25485791	-1.969546143	0.784685181
2675813	2.254800063	-1.969520185	0.784665735
2675833	2.254794591	-1.969528291	0.78440829
2675853	2.254680268	-1.969460403	0.784520287
2675873	2.254759162	-1.969579037	0.784669215
2675893	2.254831543	-1.969511353	0.784727966
2675913	2.254769043	-1.969550236	0.784565792
2675933	2.254795181	-1.969457814	0.784619008
2675953	2.254753937	-1.969448425	0.784515815
2675973	2.254791719	-1.969570391	0.784623054
2675993	2.254818848	-1.969433838	0.784570435
2676013	2.25480733	-1.969444623	0.784495376
2676033	2.254764993	-1.969492848	0.784539494
2676053	2.254719971	-1.969392136	0.784527085
2676073	2.254761489	-1.969440538	0.784518662
2676093	2.25487648	-1.96946852	0.784468352
2676113	2.254740047	-1.969496984	0.78463395
2676133	2.25475438	-1.969484748	0.784494022
2676153	2.254793335	-1.969441696	0.784473565
2676173	2.254797119	-1.969531386	0.784610746
2676193	2.254823242	-1.969446411	0.784590942
2676213	2.254872587	-1.969594971	0.78460441
2676233	2.254831974	-1.969483075	0.784517495
2676253	2.254782715	-1.969485458	0.784407738
2676273	2.254782858	-1.969420812	0.784590203
2676293	2.254848834	-1.969620125	0.78464898
2676313	2.254919491	-1.969525484	0.784570884
2676333	2.254797248	-1.969441622	0.78457996
2676353	2.25476236	-1.96954036	0.784514069
2676373	2.254845746	-1.969513421	0.784422833
2676393	2.254839786	-1.969462022	0.784601634
2676413	2.254829561	-1.969387832	0.78450856
2676433	2.254839233	-1.969516281	0.784667355
2676453	2.254859174	-1.969516723	0.784570241
2676473	2.254786277	-1.969408483	0.784524349
2676493	2.254626651	-1.969468226	0.784541238
2676513	2.254733613	-1.969476354	0.784630594
2676533	2.254809494	-1.969501472	0.784405899
2676553	2.254749225	-1.96942097	0.784465006
2676573	2.254840533	-1.969498363	0.784443564
2676593	2.254807129	-1.969577637	0.784561584
2676613	2.254812284	-1.969499698	0.784601139
2676633	2.25477832	-1.969448524	0.784524818
2676653	2.254857364	-1.969468291	0.784591478
2676673	2.254851275	-1.969516386	0.784551898
2676693	2.254747573	-1.969461017	0.784472954
2676713	2.254744758	-1.969415061	0.784560773
2676733	2.254739804	-1.969491017	0.784458977
2676753	2.254867035	-1.969565323	0.784353218
2676773	2.254814812	-1.969470416	0.784477363
2676793	2.254743408	-1.969514404	0.784699829
2676813	2.254735366	-1.96947369	0.784502071
2676833	2.254890654	-1.96948128	0.784442121
2676853	2.254837005	-1.969468521	0.784618454
2676873	2.254761101	-1.969489344	0.784477061
2676893	2.25487793	-1.969571167	0.78452063
2676913	2.25472764	-1.969440968	0.78450983
2676933	2.25472909	-1.96944038	0.784610894
2676953	2.254828461	-1.969519196	0.784560905
2676973	2.25485014	-1.969541109	0.784396154
2676993	2.254784668	-1.969395264	0.784484192
2677013	2.254694379	-1.9693545	0.784670403
2677033	2.254763887	-1.969533821	0.784592817
2677053	2.254844696	-1.969561874	0.784351288
2677073	2.254786305	-1.969465411	0.784476735
2677093	2.254758057	-1.969450073	0.784715088
2677113	2.254788618	-1.969535975	0.784461936
2677133	2.254774127	-1.969573314	0.784307359
2677153	2.254765941	-1.969456629	0.784499009
2677173	2.254813522	-1.969539924	0.784664082
2677193	2.254782227	-1.969587158	0.784489502
2677213	2.254777085	-1.969433752	0.784497741
2677233	2.254803567	-1.969471694	0.784617895
2677253	2.254784332	-1.969514298	0.784576355
2677273	2.254911578	-1.969535106	0.784262534
2677293	2.254692871	-1.96937439	0.784568115
2677313	2.254771872	-1.96943256	0.784635853
2677333	2.254850701	-1.969535702	0.784545421
2677353	2.254808533	-1.969470062	0.784346794
2677373	2.254812557	-1.969355684	0.784461103
2677393	2.254765381	-1.969451416	0.784543945
2677413	2.254792035	-1.969533138	0.784622943
2677433	2.254706256	-1.969438886	0.784464517
2677453	2.254732025	-1.969414643	0.784463478
2677473	2.25477012	-1.969456378	0.784597412
2677493	2.254685547	-1.969465088	0.784451965
2677513	2.254861012	-1.969473949	0.784466115
2677533	2.254768282	-1.96942683	0.784555844
2677553	2.254806366	-1.969470398	0.784604836
2677573	2.254783002	-1.969446835	0.784454163
2677593	2.254753418	-1.96945813	0.784461975
2677613	2.254746108	-1.969424453	0.784604356
2677633	2.254769531	-1.969506728	0.784575974
2677653	2.254823242	-1.969552828	0.784455484
2677673	2.25481009	-1.969467857	0.784624519
2677693	2.254705566	-1.96943042	0.784502502
2677713	2.254761963	-1.969528916	0.784434789
2677733	2.25482834	-1.969524629	0.784590174
2677753	2.254795624	-1.969421646	0.784635986
2677773	2.254791274	-1.969462438	0.784492762
2677793	2.254763184	-1.969601074	0.784385498
2677813	2.254755658	-1.969481144	0.784465264
2677833	2.254781436	-1.969446354	0.784668554
2677853	2.254826387	-1.969483334	0.784588239
2677873	2.254828842	-1.969523194	0.784617474
2677893	2.254757812	-1.96938501	0.784432129
2677913	2.254784525	-1.969408584	0.784466337
2677933	2.254738754	-1.969438065	0.784450886
2677953	2.254764189	-1.969474379	0.784565347
2677973	2.254723288	-1.969400405	0.784694641
2677993	2.254791504	-1.96953479	0.784393127
2678013	2.254789535	-1.969481957	0.784365506
2678033	2.254795841	-1.969509572	0.78446107
2678053	2.254807464	-1.969487747	0.784589363
2678073	2.254830035	-1.969454289	0.7846956
2678093	2.254756104	-1.969463013	0.78446228
2678113	2.25480924	-1.969450978	0.784537102
2678133	2.254745821	-1.96939148	0.784465425
2678153	2.254772156	-1.969405518	0.784451324
2678173	2.254720287	-1.969392413	0.784655718
2678193	2.25482353	-1.969558314	0.784587618
2678213	2.254826574	-1.969499404	0.784457706
2678233	2.254855026	-1.969524757	0.784476155
2678253	2.254827479	-1.969470021	0.78445674
2678273	2.254963852	-1.969564619	0.784500448
2678293	2.254822266	-1.969520874	0.784495728
2678313	2.254818023	-1.969480118	0.784627166
2678333	2.254858154	-1.969533615	0.784475888
2678353	2.254897863	-1.969494177	0.784592372
2678373	2.254921186	-1.96950285	0.784556518
2678393	2.254949305	-1.969481266	0.784579091
2678413	2.254869744	-1.969426406	0.784318464
2678433	2.254761676	-1.969419707	0.784384773
2678453	2.254632721	-1.969479736	0.784520096
2678473	2.254746122	-1.969458008	0.784514089
2678493	2.254831054	-1.969419197	0.784499454
2678513	2.25485656	-1.969365888	0.784513026
2678533	2.254845078	-1.969350754	0.784402813
2678553	2.25478428	-1.969411449	0.784513729
2678573	2.254681023	-1.969464944	0.784616901
2678593	2.254691291	-1.969409108	0.784470103
2678613	2.254691866	-1.969446964	0.784537774
2678633	2.25480986	-1.969435272	0.784461926
2678653	2.254864976	-1.969500122	0.784437435
2678673	2.254963839	-1.969481022	0.784376544
2678693	2.254872358	-1.969432581	0.784486734
2678713	2.254801011	-1.969440337	0.784433095
2678733	2.254746352	-1.969402968	0.784451621
2678753	2.254628357	-1.969406585	0.784556648
2678773	2.254772921	-1.969417574	0.784537447
2678793	2.254887969	-1.969511202	0.784456306
2678813	2.254911578	-1.969501809	0.784454253
2678833	2.254976654	-1.969416397	0.784627952
2678853	2.255017606	-1.96948505	0.784619001
2678873	2.255014964	-1.969523078	0.784506566
2678893	2.254769	-1.969546487	0.784607885
2678913	2.25485488	-1.96954844	0.784620824
2678933	2.254812256	-1.969430283	0.784563667
2678953	2.254876867	-1.969479693	0.784550641
2678973	2.254847254	-1.969453369	0.784534951
2678993	2.254914565	-1.969505529	0.784627283
2679013	2.254900433	-1.969482293	0.784515783
2679033	2.25481543	-1.96948748	0.784472763
2679053	2.254826861	-1.969467386	0.784420364
2679073	2.254887868	-1.969511676	0.784635286
2679093	2.255007209	-1.969537511	0.784496786
2679113	2.254881003	-1.969576689	0.784485456
2679133	2.255028885	-1.969532997	0.784396484
2679153	2.254971694	-1.969450993	0.784344349
2679173	2.254909683	-1.969474286	0.784487344
2679193	2.254908691	-1.969505845	0.784505934
2679213	2.254847857	-1.969495246	0.784602083
2679233	2.254875351	-1.969505379	0.784517071
2679253	2.254887523	-1.969464291	0.784468947
2679273	2.254878791	-1.96946679	0.784643938
2679293	2.254927548	-1.969575447	0.784565383
2679313	2.254964772	-1.969591502	0.784397558
2679333	2.254956894	-1.969557381	0.784579171
2679353	2.254938908	-1.969466273	0.784537918
2679373	2.254934111	-1.969457039	0.784425971
2679393	2.254964844	-1.969431274	0.78444519
2679413	2.254887049	-1.9695258	0.784640683
